Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010011467558,13-Jan-10,1/6/10 20:00,OMA,Eppley Airfield,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Computer & Accessories,$0.00 ,Deny
2010011467567,13-Jan-10,1/5/10 0:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010011467587,13-Jan-10,1/2/10 8:30,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Personal Electronics,$0.00 ,Deny
2010011567600,13-Jan-10,1/1/10 0:00,OMA,Eppley Airfield,UAL  ,Passenger Property Loss,Checked Baggage,Currency,$0.00 ,Deny
2010012067658,13-Jan-10,1/1/10 11:00,ISP,"Long Island McArthur, Islip",Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010012167708,13-Jan-10,1/2/10 7:30,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$44.82 ,Approve in Full
2010011367515,14-Jan-10,1/5/10 7:45,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,$0.00 ,Deny
2010011567596,14-Jan-10,1/13/10 0:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2010011567598,14-Jan-10,1/2/10 0:00,BOS,Boston (Logan) International Airport ,Lufthansa  ,Passenger Property Loss,Checked Baggage,Audio/Video,$0.00 ,Deny
2010011567599,14-Jan-10,1/11/10 0:00,RDU,Raleigh-Durham International,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,$0.00 ,Deny
2010011567606,14-Jan-10,1/2/10 0:00,JFK,John F. Kennedy International,USAir  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,-
2010011967611,14-Jan-10,1/8/10 15:00,MEM,Memphis International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Other,$303.85 ,Settle
2010012067679,14-Jan-10,1/9/10 18:00,PSP,Palm Springs International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2010012167711,14-Jan-10,1/10/10 17:00,SEA,Seattle-Tacoma International,Continental Airlines  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,$0.00 ,Deny
2010012167733,14-Jan-10,1/1/10 6:00,RNO,Reno/Tahoe International,UAL  ,Passenger Property Loss,Checkpoint,Other,$36.88 ,Approve in Full
2010012267748,14-Jan-10,1/20/10 12:00,GRR,Gerald R. Ford International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Other,$0.00 ,Deny
2010012267750,14-Jan-10,1/2/10 13:15,ORD,Chicago O'Hare International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories; Personal Accessories,$0.00 ,Deny
2010012267754,14-Jan-10,1/8/10 0:00,PHX,Phoenix Sky Harbor International,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras,$0.00 ,Deny
2010012267765,14-Jan-10,1/1/10 0:00,PWM,Portland International Jetport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras; Computer & Accessories; Computer & Accessories; Personal Electronics; Personal Electronics,$0.00 ,Deny
2010012267790,14-Jan-10,1/2/10 0:00,MCI,Kansas City International,UAL  ,Passenger Property Loss,Checked Baggage,Personal Accessories,-,-
2010012968073,14-Jan-10,1/3/10 0:00,PHL,Philadelphia International Airport,Air France,Passenger Property Loss,Checked Baggage,-,-,-
2010012067697,15-Jan-10,1/11/10 9:30,MCI,Kansas City International,Northwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2010012167726,15-Jan-10,1/10/10 0:00,ORD,Chicago O'Hare International Airport,Asiana Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories; Other,$0.00 ,Deny
2010012667865,15-Jan-10,1/2/10 9:00,RIC,Richmond International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras; Clothing,$0.00 ,Deny
2010012667867,15-Jan-10,1/4/10 0:00,IND,Indianapolis International,American Airlines  ,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,$0.00 ,Deny
2011021680236,18-Jan-10,11/21/10 0:00,OKC,Will Rogers World,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Household Items; Household Items; Other; Toys & Games,$0.00 ,Deny
2010012267792,19-Jan-10,1/13/10 0:00,FLL,Ft. Lauderdale-Hollywood International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,-,-
